Zone,Precedence,avg_service_times,total_num_requests_serviced,num_requests_serviced_on_time,percent_requests_serviced_on_time
Z1,Priority,1.929697257143905,886,862,97.29119638826185
Z1,Routine,2.456996337713806,490,489,99.79591836734694
Z1,Urgent,6.297037681062825,455,6,1.3186813186813187
Z2,Priority,1.2233047093232627,830,829,99.87951807228916
Z2,Routine,1.6573066792237863,410,410,100.0
Z2,Urgent,4.761465357954079,406,123,30.295566502463053
Z3,Priority,1.5197285324359973,562,554,98.57651245551601
Z3,Routine,1.9030339903539637,333,333,100.0
Z3,Urgent,4.2097935206425,301,118,39.20265780730897
Z4,Priority,1.132530355400168,986,986,100.0
Z4,Routine,1.4971982630668177,527,527,100.0
Z4,Urgent,5.246686981545136,470,6,1.2765957446808511
Z5,Priority,1.0973339528637096,2178,2178,100.0
Z5,Routine,1.3760958156099554,1117,1117,100.0
Z5,Urgent,4.643358926105285,1096,275,25.09124087591241
Z6,Priority,1.3563205022749896,693,689,99.42279942279943
Z6,Routine,1.8544787517069399,348,348,100.0
Z6,Urgent,4.2908181603459905,334,138,41.31736526946108
